year,month,topic_0,topic_1,topic_2,topic_3,topic_4,topic_5,topic_6,topic_7,topic_8,topic_9,topic_10,topic_11,topic_12,topic_13,topic_14,topic_15,topic_16,topic_17,topic_18,topic_19,topic_20,topic_21,topic_22,topic_23,topic_24,topic_25,topic_26,topic_27,topic_28,topic_29,topic_30,topic_31,topic_32,topic_33,topic_34,topic_35,topic_36,topic_37,topic_38,topic_39,topic_40,topic_41,topic_42,topic_43,topic_44,topic_45,topic_46,topic_47,topic_48,topic_49,topic_50,topic_51,topic_52,topic_53,topic_54,topic_55,topic_56,topic_57,topic_58,topic_59,topic_60,topic_61,topic_62,topic_63,topic_64,topic_65,topic_66,topic_67,topic_68,topic_69,topic_70,topic_71,topic_72,topic_73,topic_74,topic_75,topic_76,topic_77,topic_78,topic_79,topic_80,topic_81,topic_82,topic_83,topic_84,topic_85,topic_86,topic_87,topic_88,topic_89,topic_90,topic_91,topic_92,topic_93,topic_94,topic_95,topic_96,topic_97,topic_98,topic_99
2009,2,31.293184,17.560368,27.927114,33.72005,48.41634,32.231438,29.073383,50.200974,51.173447,18.453821,50.710743,32.569107,40.615807,38.038227,33.498074,50.504303,31.004633,31.87835,59.5517,40.29171,22.80267,20.58833,44.793262,65.49459,61.780228,57.873917,27.960466,21.276997,49.717583,29.634563,52.632862,18.621893,22.41463,32.291077,50.445904,42.720863,48.266167,50.80781,30.269028,70.46803,46.215733,117.66239,21.470037,32.21359,58.62384,39.49325,52.05131,161.90851,34.946552,26.24853,42.8538,81.47013,24.968346,30.901003,25.034454,78.91707,47.726074,49.84471,39.005516,41.61598,70.52371,25.32273,50.883244,78.724846,52.83104,25.485426,35.914772,50.42467,49.364864,47.830338,39.89718,26.880323,83.78167,43.20906,21.447775,27.090696,35.984524,24.98466,133.79637,44.288475,33.301796,27.072275,31.041576,32.16236,35.25357,29.316626,28.79651,55.541164,26.967625,28.728601,34.60557,29.58439,40.70924,46.30497,45.840775,32.011356,29.605824,49.59133,27.528137,28.625463
2009,3,33.16904,21.951735,23.837862,41.553894,52.688595,31.947151,30.879883,48.013054,53.344254,22.88212,62.640446,27.286676,47.02696,52.229713,37.66173,50.35169,34.980553,34.774887,69.2337,45.460815,25.848227,29.741016,42.071213,99.19697,57.49477,60.250313,46.89488,19.49101,67.85881,35.808273,77.779625,20.7724,22.243156,40.54964,63.29987,43.650272,49.578606,47.3023,31.631897,123.249794,57.213898,116.12703,21.667252,35.58054,58.986763,42.726788,60.519554,151.45978,40.03457,24.884193,48.947056,85.50424,37.1863,36.146748,32.91347,83.87748,44.20098,53.730206,34.801052,59.33799,83.96529,25.901602,53.47129,76.17467,52.55597,24.334572,31.984293,60.97757,49.15072,46.778015,40.80877,25.941477,90.422386,58.89009,23.29841,31.210619,37.03748,28.286354,136.89264,41.850914,34.247746,40.75208,35.52244,34.05768,32.54853,32.180702,25.16963,64.424255,35.45127,42.48954,51.60135,24.631554,39.98043,40.95096,62.59483,35.176327,29.613792,48.04263,28.768167,34.389286
2009,4,28.299538,18.67941,26.048574,40.65574,44.088634,31.822868,27.346395,37.44146,49.25044,20.097193,61.71246,27.259424,41.762947,42.396263,32.51689,38.537334,31.452665,30.134888,57.590195,43.02035,22.99332,26.467075,44.698383,100.58928,52.619057,46.513958,47.374516,22.066202,81.25656,31.622194,71.62713,20.065874,26.116928,38.69825,45.529114,37.798294,46.19979,43.66544,31.677845,119.3372,59.384594,116.95587,19.34825,35.417778,48.82826,37.377426,68.36496,161.12329,38.498005,26.460508,35.28036,62.994465,23.238605,29.689407,30.994652,80.596,37.052982,47.405304,31.803518,51.758232,74.77936,24.321383,42.00128,66.414055,48.530426,34.092453,28.40143,54.72794,47.176617,44.986668,21.429108,26.311811,84.58186,44.799812,24.723343,40.101288,31.762817,34.155014,124.70817,51.09637,36.331467,32.015427,44.57803,32.384556,37.613884,29.977543,22.669529,46.11084,31.840889,34.037827,43.35488,25.804142,35.94678,29.653149,50.14954,37.146126,32.29277,52.6201,25.70234,32.06645
2009,5,23.943493,17.022823,24.294218,32.832195,32.86034,28.146154,24.546385,47.428627,36.67634,17.157026,53.021187,27.153442,40.37124,40.459812,29.79191,39.999664,27.332644,29.129747,45.984356,32.176147,17.448097,26.350918,39.744255,84.35027,41.700546,45.24282,38.32791,18.727596,60.19137,30.669897,68.82234,17.711246,24.365656,34.09033,39.48353,40.597137,42.15895,34.918156,24.633131,116.77692,42.306835,102.745605,16.6579,32.626987,46.25046,29.18386,54.8684,140.79778,27.913815,26.36418,49.878193,64.051025,34.59692,25.11402,47.832306,60.68596,33.111042,42.701584,33.700214,37.895737,86.656845,20.44848,41.602158,69.33047,48.747955,23.238314,20.721592,53.901424,43.4012,35.704865,18.770859,20.211395,103.509605,36.62853,17.412397,38.78072,31.434813,23.081324,93.24381,35.802467,32.747555,33.844463,27.62792,30.157845,27.46762,26.501205,21.855658,50.47388,24.467703,32.07956,29.272064,19.721758,29.144781,23.89294,42.890476,28.562567,23.775698,43.902542,29.272205,30.790716
2009,6,32.46183,16.258045,19.72151,31.871977,44.69055,29.197708,25.89746,33.939346,39.388683,18.55698,47.4476,21.725006,40.316395,35.004284,34.05416,34.58404,26.429947,26.70937,63.58516,33.97201,18.104101,36.838036,40.21853,65.743706,53.469475,44.733307,36.224472,15.014223,62.06586,29.710619,68.828606,26.45477,19.662228,27.852484,44.438072,43.472744,46.522743,55.98206,27.565147,58.724136,45.705326,82.66149,18.925476,30.89567,46.909,32.662613,62.511803,133.4478,35.837048,29.384575,40.82506,66.16528,28.113014,23.32118,61.226177,74.62762,39.135574,48.470688,28.70018,61.720104,60.26377,21.323305,46.64,80.17225,51.003635,17.892752,28.036314,54.367966,44.26339,41.78046,20.708916,22.998611,104.71919,33.9153,16.190617,32.66434,29.316332,26.836937,105.03445,41.108986,29.61932,32.366745,34.39009,29.97683,29.69876,39.17482,17.917871,65.88988,25.196629,29.9603,32.110813,17.494581,29.2064,17.9425,46.570175,37.098274,26.676573,59.943882,32.55831,33.286663
2009,7,32.443787,19.664728,30.132036,39.919746,34.641804,27.439598,29.583788,37.312492,37.115784,21.549625,46.152924,27.349436,48.482864,32.989372,39.094196,29.966248,30.769815,28.645662,51.226555,38.804405,17.45759,37.422554,41.294094,90.64559,49.16106,48.031834,30.285341,19.323586,47.82013,32.782394,80.0586,13.43795,30.238102,35.689453,30.769447,39.347652,52.15492,52.78734,26.92939,48.178707,51.439995,81.37283,16.687843,34.38266,46.842297,36.23092,50.73042,150.4938,40.322598,29.195116,53.290417,76.518394,38.58838,25.065437,34.305893,70.07148,38.774628,52.594025,42.13824,37.453457,59.723087,26.985546,47.363422,76.78358,59.02548,17.138859,25.037762,59.81042,50.20721,45.806274,24.7959,25.239233,115.82279,37.71255,17.02829,31.642849,32.381927,28.073803,102.37631,41.02255,40.1812,32.832714,29.884115,24.474237,37.97048,28.295599,16.687056,63.3942,27.376978,33.33662,35.491722,21.846,37.253845,30.072264,44.75307,38.881737,29.061983,69.801735,35.631985,31.195175
2009,8,24.654732,17.747393,20.91038,31.234676,33.695072,25.40416,24.873808,43.35875,23.908415,23.45055,38.481144,23.359055,41.565273,29.216496,35.03429,22.619936,25.400162,23.038948,47.38579,29.686598,21.722902,18.446512,32.378834,70.27014,41.32463,39.610344,29.35714,14.026961,33.174835,23.82445,62.353825,11.912781,23.388147,32.670036,33.246674,34.850014,42.107037,45.043144,18.704018,45.906742,41.94196,71.95502,15.748415,26.226418,44.825207,33.0439,40.252354,111.406845,31.285774,25.530432,43.581936,62.14927,28.508488,20.423317,31.323856,57.692593,33.562347,31.415773,35.74054,29.647686,68.48902,22.182205,37.350533,61.168888,77.39312,21.64146,19.570248,49.08226,44.66098,42.351963,20.734123,21.473593,76.425705,31.582233,17.971302,31.036453,22.28115,15.937367,80.47019,48.21208,31.901,26.74534,19.567642,24.478674,28.462091,31.63133,14.799008,59.76929,24.95927,32.721306,34.06936,17.827776,30.69598,28.375082,43.318787,28.944998,23.357058,67.067696,29.845808,25.840744
2009,9,28.325348,15.616859,22.248844,29.949179,36.628284,27.881485,28.043142,44.641163,35.26903,21.435198,40.718853,26.628445,44.278618,31.152401,36.711185,29.366657,27.457613,28.871004,52.32653,38.92109,27.18469,26.71257,39.14171,71.85585,48.895493,44.653393,32.600056,18.679892,48.889454,26.840168,64.90448,15.26895,23.054129,33.27605,35.63871,45.155354,45.742294,37.14423,23.23523,79.06249,53.098854,72.41601,16.365377,32.214405,54.195114,36.6966,60.324196,106.604225,36.1262,27.677916,33.45053,59.928947,31.559814,23.680944,37.460606,59.047054,35.718365,40.576927,33.02884,37.997528,75.67194,22.745842,50.63242,52.568615,74.36128,17.479485,24.90746,52.54496,48.975307,45.3175,23.850082,20.495335,86.43719,39.380962,23.23277,31.016796,29.74152,27.751915,87.15744,50.204483,35.530518,27.043638,28.351877,19.439552,32.98468,29.914633,14.928665,65.65505,27.027634,32.222046,33.84734,25.736134,37.524033,28.20084,42.535973,32.27104,23.111092,68.18939,33.811443,23.626524
2009,10,35.5142,19.2548,27.120028,35.957745,45.768818,38.135387,32.828304,37.735683,34.249466,21.281326,60.46431,29.365831,48.053165,37.685818,41.73547,35.887672,31.566376,32.958946,42.64996,37.137505,25.229218,26.07096,46.604015,69.753975,54.304142,53.037777,33.850445,22.304344,74.75263,29.348433,62.57691,18.8424,25.317772,38.932667,40.560165,54.677753,45.93497,39.259518,33.7321,128.22702,55.095387,77.28854,20.856606,46.572277,47.719204,40.799664,55.250877,123.672615,34.54022,24.816599,44.04413,54.406364,26.027933,30.171558,52.234306,68.12507,41.01042,54.599823,33.709526,46.053463,63.981937,24.928366,48.17289,45.727505,59.75719,21.166265,26.28584,60.54084,52.572014,44.9426,24.330776,25.824045,112.49228,39.836266,29.29107,37.864544,32.163143,42.288284,86.239365,50.70846,40.789894,35.229145,35.904934,28.128317,37.042664,26.912178,17.727413,66.42908,37.535767,37.275116,37.536625,21.863071,38.848324,29.883423,49.46723,34.2815,28.083649,67.53361,28.700937,30.050837
2009,11,25.183498,13.977923,26.90158,36.84479,38.811787,28.331404,28.188997,40.15388,29.946274,16.94986,46.732765,26.713861,45.34295,32.60812,35.048733,33.686256,23.483173,31.110273,44.212032,34.876297,20.043282,33.01752,37.044563,68.906715,53.579388,43.96026,30.12774,14.365517,38.49527,26.852158,62.047997,15.4558525,30.752779,34.74948,32.83498,40.576817,76.205795,36.31949,26.668766,125.133354,45.468998,70.615166,19.721737,39.58683,39.278614,38.644707,49.75882,112.72572,33.715393,30.758902,29.22864,46.465755,31.879322,27.083696,33.57991,74.1683,38.598328,39.253754,33.726658,40.97921,64.0682,26.008192,49.975998,41.511986,53.493526,20.954285,25.93884,56.340233,48.417084,43.728436,28.003374,23.191847,101.20735,37.100517,28.15573,30.534868,39.675182,25.533712,72.145256,38.905956,38.022385,30.20729,32.230164,23.647982,29.9084,28.833414,17.051414,54.56119,31.606716,34.61268,36.730747,17.531881,35.720264,31.32051,44.604553,34.551456,22.309471,67.89326,19.801165,19.48387
2009,12,30.727568,16.130955,24.6647,34.937325,42.57324,35.634007,29.32325,35.24854,26.146303,15.993559,45.88074,24.222546,57.625076,42.582172,35.029022,29.759306,25.38431,28.623564,41.63805,37.185795,20.42227,25.148338,40.03414,85.20781,65.25079,50.950115,28.00851,15.797005,42.208046,52.606953,74.19313,13.858789,32.02716,28.326782,34.51942,47.521553,71.28124,38.826378,24.990528,89.65138,47.135612,77.59591,20.540836,41.10985,53.627865,37.600742,49.193665,113.48964,36.833645,27.867239,29.419378,50.754684,36.550915,26.328983,16.195093,65.88555,44.00791,52.86718,34.415672,44.876926,85.02305,28.851099,42.25583,33.700138,81.08719,21.298723,24.861338,63.261192,44.216045,51.526714,38.27721,23.696093,95.913345,35.504734,28.907022,41.24473,38.623714,27.53017,84.075264,28.075714,41.300194,43.16253,29.279043,21.191317,35.695763,36.666332,13.635776,54.597393,33.944576,38.21639,32.171356,25.778873,38.639114,34.98852,47.533817,36.6442,20.856188,71.652214,27.333376,23.34604
2010,1,21.874918,14.134727,20.557432,29.598259,31.056034,25.876139,21.642128,27.843077,27.331705,13.151756,35.2258,22.617058,38.150784,28.356825,26.426052,29.779766,18.338392,23.785494,38.921608,32.593857,25.329777,11.640188,37.12694,63.8586,48.47252,32.830738,24.44152,15.228033,49.365677,30.525091,58.35682,12.570555,17.115376,27.843737,30.63213,34.29448,62.366604,41.057976,21.474308,68.33938,30.542048,75.98695,15.730006,27.25505,42.462265,28.304567,39.694054,90.95531,29.168957,19.150526,28.345314,31.451717,25.225794,23.965183,52.06507,56.968143,35.66215,31.87694,32.440296,35.46612,59.057415,20.38962,40.895584,31.841496,57.383236,14.570194,24.181683,47.471878,51.58018,38.33052,32.992325,22.416405,41.551636,29.487335,21.670729,26.348368,27.538515,18.562681,52.94056,49.51648,30.985725,31.446838,22.184053,18.250158,22.37334,31.77702,14.456569,49.175022,24.371721,27.866215,29.841654,23.504284,33.552677,22.718225,36.773617,29.196226,18.994566,52.486134,26.926573,22.543835
2010,2,25.06037,17.543207,20.624805,29.9111,34.791306,23.162157,27.304428,28.914043,27.397112,11.2858305,37.684868,22.412743,40.049255,39.29632,25.173283,35.17237,21.84367,23.263819,34.06922,31.610313,18.54733,14.285681,36.946133,61.923782,52.67826,34.292297,28.14859,17.849415,65.65705,29.465906,49.02016,15.678179,18.149292,26.355387,25.964462,43.404602,65.8647,27.059284,33.09847,103.665985,39.60666,67.901215,18.22207,26.936768,43.926777,32.707462,42.388554,96.35532,27.437792,21.200321,28.454319,32.735844,32.57256,22.374737,28.640814,55.0936,38.819157,40.487633,27.75736,32.279366,44.589767,22.170544,39.209515,28.26642,43.772274,14.625548,25.94257,46.659336,47.302277,41.833008,80.909225,19.900589,59.138206,28.403591,19.063702,26.118834,25.457485,24.1541,59.13792,36.40255,27.619942,29.548655,27.324919,18.814695,27.952818,28.11482,12.983677,44.567505,23.455544,26.427807,30.74373,18.161795,33.699097,123.94515,37.71535,28.889679,19.154295,45.0225,23.35211,24.924952
2010,3,34.57512,20.994751,20.670467,38.672344,48.226887,27.871773,29.656096,35.998455,36.987656,16.713913,44.579906,26.652946,57.59301,49.26506,27.699131,39.82678,23.78045,29.078876,40.68486,39.39461,25.584934,25.747791,43.551876,81.121574,65.67512,48.298443,43.065243,24.907427,48.852253,41.764484,72.262215,14.539974,26.591032,45.605965,35.227932,46.244747,73.16574,30.606533,36.301735,117.57079,45.415123,70.40014,19.915295,37.11167,47.167847,42.558224,45.139137,102.3106,32.995014,23.679762,44.440975,34.92566,40.04709,31.55748,23.22431,59.729008,40.015213,51.3622,32.373146,37.993607,94.35539,24.782173,43.58823,26.818592,57.717598,19.344427,28.907974,67.503624,49.711,49.14315,38.585476,24.634876,76.34939,34.238533,28.00938,40.222687,24.60738,30.08152,68.30924,51.86494,33.63563,38.888863,29.014938,24.424604,31.791487,34.93691,22.402538,49.57594,36.111496,34.767143,38.85209,22.941965,37.59518,53.826176,50.24317,33.15374,28.340137,45.054512,29.187012,33.510487
